Date,Portfolio,Cash,QQQ,QQQ_holdings,BND,BND_holdings,GLD,GLD_holdings
2010-01-04,99965000.0,-35000.0,60000000.0,1490810.816241632,30000000.000000004,620712.9415750093,10000000.0,91074.67870730546
2010-01-05,100043565.69027218,-35000.0,60000000.0,1490810.816241632,30087673.714018624,620712.9415750093,9990891.976253549,91074.67870730546
2010-01-06,99835067.32600908,-35000.0,59638085.519657895,1490810.816241632,30076244.18914305,620712.9415750093,10155737.617208136,91074.67870730546
2010-01-07,99788110.14101233,-35000.0,59676876.491709836,1490810.816241632,30053337.78275269,620712.9415750093,10092895.866549805,91074.67870730546
2010-01-08,100359879.44030795,-35000.0,60168044.92496155,1490810.816241632,30083847.297569707,620712.9415750093,10142987.217776686,91074.67870730546
2010-01-11,100260539.503091,-35000.0,59922452.17784778,1490810.816241632,30095309.97209273,620712.9415750093,10277777.35315049,91074.67870730546
2010-01-12,99410340.99318911,-35000.0,59172792.89975265,1490810.816241632,30209707.037622795,620712.9415750093,10062841.055813676,91074.67870730546
2010-01-13,100174061.34845906,-35000.0,59909525.64515843,1490810.816241632,30141065.956906408,620712.9415750093,10158469.74639421,91074.67870730546
2010-01-14,100342814.94810446,-35000.0,59961209.02794806,1490810.816241632,30213509.77575211,620712.9415750093,10203096.144404287,91074.67870730546
2010-01-15,99557344.79541594,-35000.0,59263244.50662645,1490810.816241632,30232561.35171003,620712.9415750093,10096538.937079456,91074.67870730546
2010-01-19,100558733.6951231,-35000.0,60219756.74271091,1490810.816241632,30217329.088705145,620712.9415750093,10156647.863707056,91074.67870730546
2010-01-20,99530184.55071883,-35000.0,59353735.92244384,1490810.816241632,30289772.907550845,620712.9415750093,9921675.720724145,91074.67870730546
2010-01-21,98865713.22485392,-35000.0,58797934.82574535,1490810.816241632,30324089.896161098,620712.9415750093,9778688.502947465,91074.67870730546
2010-01-22,97116950.4064774,-35000.0,57078831.09188445,1490810.816241632,30312646.16429376,620712.9415750093,9760473.15029921,91074.67870730546
2010-01-25,97297130.18953088,-35000.0,57272723.39523277,1490810.816241632,30270700.02110528,620712.9415750093,9788706.77319284,91074.67870730546
2010-01-26,97428573.64017254,-35000.0,57324435.21298212,1490810.816241632,30343146.20778294,620712.9415750093,9795992.219407486,91074.67870730546
2010-01-27,97745209.98945028,-35000.0,57776812.6741819,1490810.816241632,30301211.903754264,620712.9415750093,9702185.411514105,91074.67870730546
2010-01-28,96265681.84848444,-35000.0,56290403.58970515,1490810.816241632,30312646.16429376,620712.9415750093,9697632.094485534,91074.67870730546
2010-01-29,95274130.11632738,-35000.0,55308072.41019363,1490810.816241632,30350784.83368901,620712.9415750093,9650272.872444728,91074.67870730546
2010-02-01,96079398.9418344,-35000.0,55915591.0116334,1490810.816241632,30330866.63123338,620712.9415750093,9867941.298967615,91074.67870730546
2010-02-02,96673650.36544459,-35000.0,56419646.16863088,1490810.816241632,30350024.75962954,620712.9415750093,9938979.437184168,91074.67870730546
2010-02-03,96925532.76000325,-35000.0,56729848.83122364,1490810.816241632,30330866.63123338,620712.9415750093,9899817.297546241,91074.67870730546
2010-02-04,94947038.7627636,-35000.0,55088332.72845855,1490810.816241632,30388241.567479502,620712.9415750093,9505464.466825549,91074.67870730546
2010-02-05,95490327.61853749,-35000.0,55553631.03535575,1490810.816241632,30437999.188307207,620712.9415750093,9533697.394874522,91074.67870730546
2010-02-08,95035168.91960734,-35000.0,55152959.70491337,1490810.816241632,30441799.558604553,620712.9415750093,9475409.65608942,91074.67870730546
2010-02-09,95667458.28494537,-35000.0,55721687.334301196,1490810.816241632,30380588.734581668,620712.9415750093,9600182.216062503,91074.67870730546
2010-02-10,95455859.23095761,-35000.0,55605325.79212926,1490810.816241632,30311762.96297232,620712.9415750093,9573770.475856027,91074.67870730546
2010-02-11,96429378.22822706,-35000.0,56445504.921001524,1490810.816241632,30262043.227455992,620712.9415750093,9756830.079769557,91074.67870730546
2010-02-12,96579533.05638021,-35000.0,56561815.28024597,1490810.816241632,30304084.08392291,620712.9415750093,9748633.692211336,91074.67870730546
