Date,Type,Cost,Value
2010-01-04,Rebalance,35000.0,100000000.0
2010-03-31,Rebalance,35904.746754024585,102584990.72578454
2010-04-30,Rebalance,36701.81472637953,104862327.7896558
2010-06-30,Rebalance,34329.22621508126,98083503.47166075
2010-08-31,Rebalance,34940.796053170336,99830845.86620095
2010-09-30,Rebalance,37856.54133479736,108161546.6708496
2010-11-30,Rebalance,39422.07108149669,112634488.80427624
2010-12-31,Rebalance,40508.84447099145,115739555.63140413
2011-01-31,Rebalance,40934.13173880702,116954662.11087719
2011-02-28,Rebalance,41977.650947782306,119936145.5650923
2011-03-31,Rebalance,41898.58942620591,119710255.50344546
2011-05-31,Rebalance,42918.5398892856,122624399.68367316
2011-06-30,Rebalance,42229.177479516475,120654792.79861851
2011-08-31,Rebalance,42667.77451070137,121907927.17343248
2011-09-30,Rebalance,41116.258642785964,117475024.69367418
2011-10-31,Rebalance,43923.291199674546,125495117.71335584
2011-11-30,Rebalance,43263.7945584145,123610841.59547
2012-01-31,Rebalance,45476.73575404175,129933530.72583356
2012-02-29,Rebalance,47080.55643994312,134515875.54269463
2012-04-30,Rebalance,48158.73552427531,137596387.2122152
2012-05-31,Rebalance,45936.965007641884,131248471.45040537
2012-07-31,Rebalance,47530.47232109997,135801349.48885706
2012-08-31,Rebalance,49250.33437931524,140715241.08375782
2012-10-31,Rebalance,48011.78495533425,137176528.44381216
2012-11-30,Rebalance,48358.02545565191,138165787.0161483
2012-12-31,Rebalance,47961.087311240866,137031678.03211677
2013-01-31,Rebalance,48589.51067101397,138827173.3457542
2013-02-28,Rebalance,48503.65236226351,138581863.89218146
2013-04-30,Rebalance,49962.74756066918,142750707.31619766
2013-05-31,Rebalance,50419.351263943354,144055289.32555243
2013-07-31,Rebalance,51124.415502690616,146069758.57911605
2013-09-30,Rebalance,52507.96379884228,150022753.71097794
2013-10-31,Rebalance,54168.29093619793,154766545.5319941
2013-12-31,Rebalance,55644.86993655423,158985342.67586923
2014-01-31,Rebalance,55432.74531047171,158379272.31563348
2014-02-28,Rebalance,57552.707181428355,164436306.23265246
2014-03-31,Rebalance,56378.47844179431,161081366.97655517
2014-04-30,Rebalance,56414.25754839827,161183592.99542364
2014-06-30,Rebalance,59383.74001823609,169667828.62353167
2014-07-31,Rebalance,59518.91381756486,170054039.47875676
2014-09-30,Rebalance,60757.547457596505,173592992.73599002
2014-10-31,Rebalance,61645.537333262335,176130106.66646382
2014-12-31,Rebalance,62653.734092042,179010668.83440572
2015-03-31,Rebalance,63884.11261904749,182526036.0544214
2015-04-30,Rebalance,64525.921440688915,184359775.54482546
2015-06-30,Rebalance,64017.54615474568,182907274.7278448
2015-07-31,Rebalance,65490.782071596266,187116520.20456076
2015-08-31,Rebalance,62980.64989619298,179944713.9891228
2015-09-30,Rebalance,62164.04709354229,177611563.12440655
2015-11-30,Rebalance,66280.71007467894,189373457.35622555
2015-12-31,Rebalance,65558.34871846327,187309567.7670379
2016-02-29,Rebalance,63759.69925970502,182170569.31344292
2016-03-31,Rebalance,66474.10486871505,189926013.91061443
2016-05-31,Rebalance,66856.84029402024,191019543.6972007
2016-06-30,Rebalance,66924.43354419657,191212667.26913306
2016-08-31,Rebalance,70191.66146148703,200547604.17567724
2016-09-30,Rebalance,71171.76013650923,203347886.1043121
2016-10-31,Rebalance,70114.38062464609,200326801.7847031
2016-11-30,Rebalance,69145.92856090753,197559795.88830724
